date,signal_date,signal_lag_days,confidence,trailing_ic_mean,matured_ic_count,dynamic_l1_limit,dynamic_active_share_limit,dynamic_turnover_limit,enforce_alpha_directionality,negative_signal_ow_before,negative_signal_ow_after,target_turnover,candidate_turnover,executed_turnover,projection_turnover_before_cap,turnover_cap_scale,signal_scale,ema_alpha,projection_status,constraint_violation,turnover_excess,fallback_used,weight_sum,min_weight,max_weight_actual,active_l1,allocated_active_budget,raw_target_active_share,target_active_share,executed_active_share,tradable_name_count,non_tradable_portfolio_weight,non_tradable_benchmark_weight,tradable_weight_sum_error,tradable_benchmark_sum_error
2022-11-07,2022-11-04,1,0.2,-0.0022283272283272313,6,0.2,0.1,0.044,1,0,0,0.20936684296259278,0.038170574210970976,0.07793848269866425,5.811323644522304e-17,1.0,,0.8,fallback_solver_failed|final_hard_projection_fallback_solver_failed,hard_rule_turnover_override,0.03393848269866426,1,1.0,0.0,0.13395856715644366,0.20000000000000015,0.1,0.09999999999999996,0.09999999999999995,0.10000000000000007,64,0.0,0.0,0.0,0.0
2022-12-06,2022-12-05,1,0.2,-0.02138278388278388,6,0.2,0.1,0.044,1,0,0,0.2034370757153064,0.03863208654791816,0.04405589178764913,0.044051372949698214,0.9988337945844077,,0.8,projected|turnover_capped,hard_rule_turnover_override,5.589178764913577e-05,0,1.0,0.0,0.1334268817921619,0.16166859002915557,0.1,0.09999999999999999,0.09999999999999999,0.08083429501457778,64,0.0,0.0,0.0,0.0
2023-01-04,2023-01-03,1,0.5920711233211233,0.013682844932844935,6,0.27841422466422466,0.13920711233211233,0.07144497863247865,1,0,0,0.2297431758697772,0.04564110406844042,0.05199622021239195,0.05198318674139705,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.1231205362592666,0.17154205199258887,0.13920711233211233,0.1392071123321123,0.1392071123321123,0.08577102599629444,64,0.0,0.0,0.0,2.220446049250313e-16
2023-02-02,2023-02-01,1,1.0,0.05629578754578754,6,0.36,0.18,0.1,1,0,0,0.3235632952525027,0.08076714270537466,0.09332666817953648,0.09328562433965794,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.1280659486930692,0.1780625747415761,0.18,0.17999999999999997,0.18,0.08903128737078805,64,0.0,0.0,0.0,0.0
2023-03-03,2023-03-02,1,1.0,0.06246947496947496,6,0.36,0.18,0.1,1,0,0,0.25770343795674006,0.06200750646009827,0.07393826323661233,0.07380948179128796,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.1317471196258176,0.20956161544710608,0.18,0.18,0.18,0.10478080772355304,64,0.0,0.0,0.0,0.0
2023-04-03,2023-03-31,1,1.0,0.042460317460317455,6,0.36,0.18,0.1,1,0,0,0.2833625932567725,0.06449096864859169,0.0901544466672024,0.09013523251243867,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13723411540978855,0.20033001930417813,0.18,0.17999999999999997,0.17999999999999997,0.10016500965208906,64,0.0,0.0,0.0,0.0
2023-05-02,2023-05-01,1,1.0,0.04175061050061049,6,0.36,0.18,0.1,1,0,0,0.23983113143195664,0.062191413314315436,0.07538644624360333,0.0753469065548389,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13484898094588513,0.20658356126577732,0.18,0.17999999999999997,0.17999999999999997,0.10329178063288866,64,0.0,0.0,0.0,1.1102230246251565e-16
2023-05-31,2023-05-30,1,1.0,0.08027319902319902,6,0.36,0.18,0.1,1,0,0,0.2685822713310127,0.055120403173002916,0.079594428501281,0.079584615497438,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13548125306463216,0.20909862421064385,0.18,0.17999999999999994,0.17999999999999994,0.10454931210532192,64,0.0,0.0,2.220446049250313e-16,0.0
2023-06-29,2023-06-28,1,1.0,0.11539224664224663,6,0.36,0.18,0.1,1,0,0,0.21078525514536908,0.0376389498343836,0.049383932231385125,0.049308247683045675,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13620488303942976,0.22279986913414118,0.18,0.17999999999999997,0.17999999999999997,0.11139993456707059,64,0.0,0.0,2.220446049250313e-16,0.0
2023-07-28,2023-07-27,1,1.0,0.09653540903540903,6,0.36,0.18,0.1,1,0,0,0.22697055597501764,0.0394697497056453,0.04294355443957884,0.04283150664164968,1.0,,0.8,projected,,0.0,0,1.0,0.0,0.13295665512873786,0.2410267612109818,0.18,0.18,0.18,0.1205133806054909,64,0.0,0.0,0.0,1.1102230246251565e-16
